Time (s),X,Y,Z,Direction
92.1279999999934,2.6999999999999997,7.199999999999994,1.27,Right
92.1599999999934,2.7899999999999996,7.199999999999994,1.27,Right
92.1919999999934,2.8799999999999994,7.199999999999994,1.27,Right
92.2239999999934,2.9699999999999993,7.199999999999994,1.27,Right
92.25599999999339,3.059999999999999,7.199999999999994,1.27,Right
92.28799999999339,3.149999999999999,7.199999999999994,1.27,Right
92.31999999999339,3.239999999999999,7.199999999999994,1.27,Right
92.35199999999338,3.3299999999999987,7.199999999999994,1.27,Right
92.38399999999338,3.4199999999999986,7.199999999999994,1.27,Right
92.41599999999337,3.5099999999999985,7.199999999999994,1.27,Right
92.44799999999337,3.5999999999999983,7.199999999999994,1.27,Right
92.47999999999337,3.689999999999998,7.199999999999994,1.27,Right
92.51199999999336,3.779999999999998,7.199999999999994,1.27,Right
92.54399999999336,3.869999999999998,7.199999999999994,1.27,Right
92.57599999999336,3.9599999999999977,7.199999999999994,1.27,Right
92.60799999999335,4.049999999999998,7.199999999999994,1.27,Right
92.63999999999335,4.139999999999998,7.199999999999994,1.27,Right
92.67199999999335,4.229999999999998,7.199999999999994,1.27,Right
92.70399999999334,4.319999999999998,7.199999999999994,1.27,Right
92.73599999999334,4.4099999999999975,7.199999999999994,1.27,Right
92.76799999999334,4.499999999999997,7.199999999999994,1.27,Right
92.79999999999333,4.589999999999997,7.199999999999994,1.27,Right
92.83199999999333,4.679999999999997,7.199999999999994,1.27,Right
92.86399999999333,4.769999999999997,7.199999999999994,1.27,Right
92.89599999999332,4.859999999999997,7.199999999999994,1.27,Right
92.92799999999332,4.949999999999997,7.199999999999994,1.27,Right
92.95999999999331,5.0399999999999965,7.199999999999994,1.27,Right
92.99199999999331,5.129999999999996,7.199999999999994,1.27,Right
93.02399999999331,5.219999999999996,7.199999999999994,1.27,Right
93.0559999999933,5.309999999999996,7.199999999999994,1.27,Right
93.0879999999933,5.399999999999996,7.199999999999994,1.27,Right
93.1199999999933,5.489999999999996,7.199999999999994,1.27,Right
93.1519999999933,5.579999999999996,7.199999999999994,1.27,Right
93.18399999999329,5.6699999999999955,7.199999999999994,1.27,Right
93.21599999999329,5.759999999999995,7.199999999999994,1.27,Right
93.24799999999328,5.849999999999995,7.199999999999994,1.27,Right
93.27999999999328,5.939999999999995,7.199999999999994,1.27,Right
93.31199999999328,6.029999999999995,7.199999999999994,1.27,Right
93.34399999999327,6.119999999999995,7.199999999999994,1.27,Right
93.37599999999327,6.209999999999995,7.199999999999994,1.27,Right
93.40799999999327,6.2999999999999945,7.199999999999994,1.27,Right
93.43999999999326,6.389999999999994,7.199999999999994,1.27,Right
93.47199999999326,6.479999999999994,7.199999999999994,1.27,Right
93.50399999999325,6.479999999999994,7.199999999999994,1.27,Stationary
93.53599999999325,6.479999999999994,7.199999999999994,1.27,Stationary
93.56799999999325,6.479999999999994,7.199999999999994,1.27,Stationary
93.59999999999324,6.479999999999994,7.199999999999994,1.27,Stationary
93.63199999999324,6.479999999999994,7.199999999999994,1.27,Stationary
93.66399999999324,6.479999999999994,7.199999999999994,1.27,Stationary
93.69599999999323,6.479999999999994,7.199999999999994,1.27,Stationary
93.72799999999323,6.479999999999994,7.199999999999994,1.27,Stationary
93.75999999999323,6.479999999999994,7.199999999999994,1.27,Stationary
93.79199999999322,6.479999999999994,7.199999999999994,1.27,Stationary
93.82399999999322,6.479999999999994,7.199999999999994,1.27,Stationary
93.85599999999322,6.479999999999994,7.199999999999994,1.27,Stationary
93.88799999999321,6.479999999999994,7.199999999999994,1.27,Stationary
93.91999999999321,6.479999999999994,7.199999999999994,1.27,Stationary
93.9519999999932,6.479999999999994,7.199999999999994,1.27,Stationary
93.9839999999932,6.479999999999994,7.199999999999994,1.27,Stationary
94.0159999999932,6.479999999999994,7.199999999999994,1.27,Stationary
